,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lon
436,Nemuro,66.2,48.0,75.0,14.97,,
437,Comodoro Rivadavia,50.0,81.0,0.0,3.44,,
438,Nouadhibou,66.2,82.0,0.0,18.41,,
439,Huarmey,65.3,84.0,6.0,6.4,,
440,Sakakah,73.4,31.0,0.0,11.5,,
441,Sanmenxia,62.1,87.0,100.0,3.15,,
442,Los Llanos de Aridane,61.93,73.0,90.0,16.11,,
443,Lixouri,63.66,75.0,69.0,2.8,,
444,Dhidhdhoo,84.61,76.0,98.0,30.02,,
445,Kormilovka,77.0,23.0,75.0,11.18,,
446,Chapada dos Guimarães,73.4,78.0,0.0,2.3,,
447,Bangui,78.8,89.0,20.0,2.66,,
448,Provideniya,46.65,55.0,75.0,13.04,,
449,Chara,49.19,43.0,29.0,5.64,,
450,Grindavik,35.6,93.0,75.0,3.44,,
451,Sonoita,74.7,13.0,0.0,8.1,,
452,Manokwari,84.25,72.0,42.0,4.97,,
453,Arlit,88.16,11.0,68.0,9.71,,
454,marcona,,,,,,
455,Barberino di Mugello,47.75,93.0,20.0,2.3,,
456,Imeni Poliny Osipenko,52.02,80.0,100.0,20.13,,
457,Mossamedes,76.93,51.0,3.0,4.85,,
458,Rafai,69.19,98.0,100.0,2.51,,
459,Beringovskiy,33.44,96.0,100.0,13.69,,
460,Novy Urengoy,30.49,73.0,67.0,8.9,,
461,San Juan,60.15,48.0,5.0,8.16,,
462,Bandarbeyla,87.46,56.0,10.0,19.44,,
463,coalcoman,,,,,,
464,Amos,52.57,44.0,40.0,6.91,,
465,Sur,91.0,46.0,10.0,3.18,,
466,Rawson,54.07,65.0,3.0,6.31,,
467,Muros,60.78,93.0,100.0,1.01,,
468,Port Hardy,49.3,76.0,20.0,9.22,,
469,Knysna,57.2,72.0,0.0,5.75,,
470,Baruun-Urt,55.11,21.0,2.0,9.22,,
471,Quatre Cocos,77.52,69.0,75.0,12.66,,
472,Den Helder,46.45,87.0,90.0,3.44,,
473,Port Angeles,51.37,87.0,1.0,16.11,,
474,Severnyy,57.2,77.0,0.0,4.47,,
475,Benghazi,69.4,59.0,21.0,7.05,,
476,Goderich,41.0,81.0,9.0,3.44,,
477,Kalmunai,85.75,67.0,100.0,5.23,,
478,Diamantino,70.63,71.0,99.0,0.87,,
479,Ombessa,69.06,98.0,98.0,0.2,,
480,Iqaluit,28.2,64.0,90.0,2.3,,
481,azimur,,,,,,
482,Hasaki,77.97,53.0,75.0,12.66,,
483,Redlands,62.26,49.0,1.0,12.66,,
484,Lavrentiya,35.64,85.0,68.0,7.78,,
485,Dongning,80.82,43.0,80.0,13.91,,
486,Leiyang,91.47,55.0,6.0,16.06,,
487,Qasigiannguit,28.4,93.0,20.0,2.42,,
488,Tokmak,59.14,62.0,26.0,3.22,,
489,Brus Laguna,75.24,87.0,6.0,2.26,,
490,Altay,62.22,35.0,0.0,5.84,,
491,xadani,,,,,,
492,Tsukuba,77.49,49.0,75.0,13.8,,
493,Lompoc,50.32,82.0,52.0,6.91,,
494,Chabahar,87.96,56.0,14.0,7.34,,
495,Sūsangerd,89.6,33.0,0.0,2.3,,
496,Ratnagiri,91.38,54.0,100.0,6.82,,
497,Auki,85.77,65.0,43.0,3.33,,
498,bolshoy uluy,,,,,,
499,Abu Dhabi,84.43,70.0,0.0,2.3,,
500,Elesbão Veloso,75.09,76.0,100.0,2.37,,
501,Dunedin,54.0,45.0,5.0,15.99,,
502,San Patricio,75.74,83.0,75.0,9.22,,
503,Vuktyl,61.65,75.0,100.0,2.55,,
504,Luba,73.4,100.0,20.0,4.61,,
505,Shirokiy,58.1,51.0,34.0,22.86,,
506,Kandé,77.0,83.0,0.0,2.3,,
507,Mandalgovi,53.2,21.0,27.0,9.69,,
508,Necochea,53.08,64.0,99.0,9.08,,
509,Mezen',48.07,78.0,94.0,4.65,,
510,Poquoson,52.27,87.0,1.0,3.44,,
511,Pokhara,81.57,41.0,0.0,6.06,,
512,Buala,85.93,65.0,63.0,5.37,,
513,Binga,60.08,66.0,0.0,1.12,,
514,Ayagoz,61.2,41.0,1.0,13.24,,
515,Stoughton,54.43,76.0,20.0,4.52,,
516,Kansanshi,51.96,80.0,0.0,3.29,,
517,Labuan,81.18,89.0,40.0,6.91,,
518,Bereda,55.33,99.0,100.0,15.99,,
519,Abbeville,46.99,61.0,100.0,8.5,,
520,Port Macquarie,67.48,59.0,45.0,2.15,,
521,Srīvardhan,89.71,55.0,100.0,8.14,,
522,jujuy,,,,,,
523,Kouango,70.23,98.0,99.0,3.31,,
524,Alihe,56.48,41.0,94.0,15.3,,
525,Segezha,49.26,86.0,100.0,2.86,,
526,Kargasok,63.64,68.0,100.0,6.6,,
527,Jaqué,80.06,85.0,100.0,3.71,,
528,Coahuayana Viejo,77.63,80.0,42.0,2.08,,
529,Seoul,73.35,78.0,90.0,8.05,,
530,Redding,74.59,32.0,75.0,12.66,,
531,Elmira,42.93,81.0,1.0,3.44,,
532,Cheyenne,44.91,93.0,75.0,3.44,,
533,Galle,83.19,77.0,100.0,6.73,,
534,Pouébo,79.9,71.0,35.0,6.51,,
535,Skarnes,47.7,100.0,90.0,5.75,,
536,Inuvik,46.4,53.0,100.0,2.3,,
537,Kibre Mengist,60.08,93.0,78.0,1.68,,
538,São João da Barra,68.83,69.0,100.0,2.53,,
539,Townsville,80.6,47.0,0.0,14.97,,
540,Ourém,50.58,91.0,98.0,2.66,,
541,Morant Bay,76.96,69.0,20.0,6.91,,
542,Mildura,59.97,36.0,40.0,13.8,,
543,Adeje,61.93,82.0,20.0,9.22,,
544,Bubaque,76.69,77.0,5.0,12.08,,
545,Southampton,49.17,92.0,100.0,1.01,,
546,Zhigansk,51.24,45.0,100.0,19.39,,
547,Canutama,72.72,98.0,100.0,1.41,,
548,Udaipura,99.84,25.0,58.0,10.09,,
549,Mercedes,47.46,84.0,69.0,1.99,,
550,Svarstad,48.87,1.0,52.0,4.83,,
551,Kahului,73.45,61.0,20.0,14.97,,
552,Tecpan,58.21,82.0,20.0,16.11,,
553,bolungarvik,,,,,,
554,Guozhen,58.53,90.0,100.0,6.13,,
555,nguiu,,,,,,
556,Takoradze,79.84,85.0,59.0,6.4,,
557,Fare,82.27,74.0,100.0,18.81,,
558,Linjiang,70.95,64.0,76.0,9.28,,
559,Flinders,63.59,44.0,33.0,8.99,,
560,Pringsewu,89.42,57.0,48.0,2.82,,
561,Noumea,80.6,69.0,90.0,12.66,,
562,Bambous Virieux,77.47,69.0,75.0,12.66,,
563,Marsh Harbour,76.89,74.0,34.0,10.87,,
564,guajara-mirim,,,,,,
565,Rincon,53.6,76.0,1.0,3.38,,
566,Pangnirtung,24.17,94.0,100.0,0.6,,
567,sorvag,,,,,,
568,Karratha,83.46,21.0,92.0,21.0,,
569,Udachny,37.31,97.0,100.0,3.4,,
570,Karachi,86.0,70.0,20.0,6.91,,
571,Waddān,72.79,28.0,53.0,5.68,,
572,La Ronge,43.7,76.0,88.0,1.14,,
573,Billings Metropolitan Area,53.55,66.0,75.0,9.22,,
574,Iquitos,75.2,94.0,75.0,1.14,,
575,Minapasuk,85.1,68.0,100.0,6.91,,
576,Bambari,69.49,93.0,55.0,3.2,,
577,fort saint john,,,,,,
578,Guadalajara,73.96,46.0,40.0,8.05,,
579,Evensk,32.81,95.0,100.0,4.45,,
580,Shenjiamen,70.57,94.0,100.0,21.25,,
581,Liaozhong,57.2,77.0,90.0,15.66,,
582,Mastic Beach,59.32,39.0,1.0,5.75,,
583,Matagami,48.2,76.0,1.0,2.3,,
584,Methóni,57.67,82.0,40.0,1.68,,
585,Hervey Bay,77.0,29.0,1.0,6.91,,
586,Ermelo,43.72,40.0,0.0,4.81,,
587,Nantucket,53.33,82.0,75.0,10.36,,
588,Mayumba,77.47,89.0,20.0,3.13,,
589,Olafsvik,39.16,70.0,14.0,11.54,,
590,Onega,53.17,75.0,100.0,2.53,,
591,Fukuechō,71.6,100.0,75.0,6.91,,
592,Malazgirt,62.4,43.0,1.0,2.28,,
593,Jumla,64.81,32.0,0.0,4.76,,
594,Sampit,85.35,75.0,56.0,3.4,,
595,Pacifica,50.02,93.0,90.0,10.36,,
596,Santa Cruz de la Sierra,68.0,88.0,75.0,2.3,,
597,San Cristobal,78.8,73.0,20.0,3.44,,
598,Lujiang,72.37,100.0,20.0,11.18,,
599,Scarborough,45.63,91.0,86.0,4.94,,
600,palabuhanratu,,,,,,
601,Bokhan,53.26,34.0,76.0,15.12,,
602,Amahai,83.23,78.0,84.0,7.85,,
603,Kununurra,84.2,17.0,2.0,11.5,,
604,Gimli,55.4,71.0,82.0,1.14,,
605,Oranjemund,60.42,78.0,0.0,7.45,,
606,Caucayá,71.85,99.0,94.0,1.59,,
607,Japura,89.37,60.0,29.0,3.87,,
608,Skjervøy,38.34,73.0,100.0,17.31,,
609,Nadym,35.91,59.0,97.0,9.01,,
610,barawe,,,,,,
611,Laurel,51.85,58.0,1.0,4.16,,
612,Antofagasta,60.8,82.0,90.0,3.44,,
613,Shimanovsk,42.13,94.0,100.0,12.35,,
614,Inhambane,64.18,88.0,0.0,7.31,,
615,Turbat,96.21,5.0,0.0,12.62,,
616,ho,,,,,,
617,Suntar,64.08,20.0,57.0,10.11,,
618,Fairbanks,57.76,29.0,75.0,4.61,,
619,Talnakh,21.83,85.0,50.0,11.77,,
620,Ingleside,75.42,78.0,1.0,16.11,,
621,Znamenskoye,75.51,39.0,61.0,7.56,,
622,Hondomachi-hondo,71.29,94.0,75.0,13.8,,
623,Sakaiminato,84.2,51.0,75.0,18.41,,
624,Kisi,75.27,85.0,6.0,6.42,,
625,Laguna,60.76,67.0,1.0,11.5,,
626,Guabito,76.12,88.0,100.0,3.47,,
627,Marsá Maţrūḩ,62.6,94.0,0.0,3.44,,
628,Havøysund,35.6,80.0,90.0,13.8,,
629,Utuado,71.44,90.0,39.0,1.01,,
630,Río Gallegos,48.2,81.0,75.0,3.44,,
631,Alta Floresta,71.04,79.0,95.0,1.34,,
632,Katherine,86.0,20.0,7.0,12.66,,
633,Sobolevo,53.19,92.0,38.0,7.54,,
634,Tual,83.37,75.0,100.0,18.92,,
635,Timbiquí,74.12,94.0,98.0,2.19,,
636,Yarensk,63.5,52.0,100.0,5.21,,
637,Yuncheng,64.13,78.0,100.0,6.58,,
638,Road Town,79.34,91.0,10.0,1.99,,
639,Kenora,53.29,71.0,75.0,6.91,,
640,Kaitangata,50.0,61.0,9.0,11.01,,
641,Rikitea,75.2,63.0,96.0,21.88,-23.1203,-134.9692
642,Albany,48.15,60.0,22.0,4.07,42.6001,-73.9662
643,Lebu,52.29,93.0,25.0,7.02,-37.6167,-73.65
644,Bethel,52.95,66.0,20.0,3.15,41.3712,-73.414
645,Manturovo,64.89,84.0,98.0,6.58,58.3353,44.7619
646,Punta Arenas,44.29,93.0,90.0,12.66,-53.15,-70.9167
647,bacuit,,,,,,
648,Tura,84.76,56.0,16.0,5.5,25.5198,90.2201
649,Narsaq,39.2,30.0,70.0,13.8,60.9167,-46.05
650,Chokurdakh,30.06,89.0,83.0,8.72,70.6333,147.9167
651,Bluff,46.99,73.0,85.0,5.99,-46.6,168.3333
652,sentyabrskiy,,,,,,
653,Tiarei,80.29,65.0,75.0,6.91,-17.5333,-149.3333
654,jiddah,,,,,,
655,Ushuaia,48.2,57.0,20.0,13.8,-54.8,-68.3
656,Cape Town,62.44,94.0,75.0,18.41,-33.9258,18.4232
657,Puerto Ayora,75.99,92.0,29.0,5.35,-0.7393,-90.3518
658,Lorengau,84.74,79.0,23.0,7.99,-2.0226,147.2712
659,grand river south east,,,,,,
660,Władysławowo,51.39,87.0,75.0,2.3,54.7909,18.4009
661,Jalpatagua,73.29,75.0,13.0,6.91,14.1417,-90.0086
662,Tuktoyaktuk,33.8,80.0,75.0,12.66,69.4541,-133.0374
663,Hokitika,53.65,69.0,59.0,4.45,-42.7167,170.9667
664,Hermanus,63.0,88.0,86.0,1.01,-34.4187,19.2345
665,Chui,49.35,81.0,40.0,2.28,-33.6971,-53.4616
666,Ulladulla,57.22,39.0,40.0,19.57,-35.35,150.4667
667,Alugan,83.03,85.0,36.0,11.95,12.2188,125.4808
668,Kavaratti,82.62,78.0,100.0,33.2,10.5669,72.642
669,Kieta,85.06,73.0,12.0,5.84,-6.2167,155.6333
670,Horsham,47.21,100.0,75.0,4.61,51.064,-0.3272
671,Vaini,80.6,83.0,40.0,6.91,-21.2,-175.2
672,Coria,51.01,89.0,54.0,2.37,39.9879,-6.5377
673,Mount Gambier,53.6,62.0,90.0,13.8,-37.8333,140.7667
674,Morondava,75.51,62.0,3.0,6.8,-20.2833,44.2833
675,Airai,71.73,50.0,100.0,4.94,-8.9266,125.4092
676,Sydney,61.12,31.0,20.0,24.16,-33.8679,151.2073
677,Dudinka,21.97,88.0,94.0,12.03,69.4058,86.1778
678,Saint-Philippe,78.1,53.0,0.0,4.61,-21.3585,55.7679
679,Sioux Lookout,51.8,82.0,90.0,3.44,50.1001,-91.917
680,Port Elizabeth,62.6,77.0,0.0,12.66,-33.918,25.5701
681,Ribeira Grande,64.98,91.0,83.0,20.69,38.5167,-28.7
682,Sitka,48.2,87.0,90.0,5.75,57.0531,-135.33
683,Arrondissement de Vesoul,47.44,93.0,75.0,2.3,47.5833,5.8333
684,Rock Sound,78.03,76.0,73.0,8.34,24.9,-76.2
685,Avarua,77.0,83.0,40.0,9.22,-21.2078,-159.775
686,Nome,60.8,41.0,1.0,19.57,64.5011,-165.4064
687,Gweta,59.63,45.0,5.0,3.6,-20.1833,25.2333
688,belushya guba,,,,,,
689,Hong Kong,83.7,77.0,6.0,5.01,22.2855,114.1577
690,Severo-Kuril'sk,42.01,63.0,0.0,3.94,50.6789,156.125
691,Mataura,46.99,73.0,50.0,5.99,-46.1927,168.8643
692,Sibu,89.24,62.0,40.0,4.61,2.3,111.8167
693,Zheleznodorozhnyy,60.17,94.0,20.0,4.47,55.7503,38.0042
694,Tasiilaq,23.0,86.0,20.0,2.3,65.6145,-37.6368
695,Acarí,68.59,71.0,29.0,2.82,-15.4311,-74.6158
696,inderborskiy,,,,,,
697,Agadez,84.61,11.0,1.0,6.35,19.75,10.25
698,nizhneyansk,,,,,,
699,umzimvubu,,,,,,
700,Tessalit,87.78,18.0,24.0,8.14,20.1986,1.0114
701,Dingle,90.5,57.0,100.0,12.64,10.9995,122.6711
702,Mar del Plata,51.17,81.0,0.0,5.75,-38.0023,-57.5575
703,Merauke,83.89,76.0,33.0,13.22,-8.4667,140.3333
704,Padang,87.8,70.0,20.0,6.91,-0.9492,100.3543
705,Kapaa,72.95,78.0,20.0,18.41,22.0752,-159.319
706,Progreso,75.2,94.0,75.0,3.44,21.2833,-89.6667
707,Ambilobe,78.6,64.0,60.0,5.95,-13.2,49.05
708,São Filipe,74.91,67.0,50.0,9.82,14.8961,-24.4956
709,Machico,69.8,40.0,20.0,17.27,32.7,-16.7667
710,Abu Samrah,70.21,36.0,0.0,8.19,35.3029,37.1841
711,New Norfolk,48.87,65.0,50.0,3.0,-42.7826,147.0587
712,Bluffton,59.74,82.0,1.0,5.77,32.2371,-80.8604
713,Butaritari,83.95,75.0,100.0,17.34,3.0707,172.7902
714,Ahipara,63.28,82.0,4.0,6.29,-35.1667,173.1667
715,Pisco,63.79,88.0,0.0,4.61,-13.7,-76.2167
716,San Javier,59.22,75.0,68.0,3.36,37.8063,-0.8374
717,Kamaishi,77.0,23.0,0.0,18.41,39.2667,141.8833
718,Mirpur Sakro,89.6,55.0,7.0,6.91,24.5474,67.6277
719,Luena,52.23,76.0,1.0,2.46,-11.7833,19.9167
720,Luang Prabang,91.4,52.0,20.0,2.3,19.8856,102.1347
721,Carnarvon,84.2,32.0,96.0,13.8,-24.8667,113.6333
722,Ribeirão,77.0,78.0,40.0,5.75,-8.5144,-35.3778
723,Gewanē,87.76,37.0,76.0,1.74,10.1664,40.6453
724,Hofn,37.15,60.0,92.0,12.71,64.2539,-15.2082
725,Saint Paul Harbor,42.8,87.0,90.0,3.44,57.79,-152.4072
726,illoqqortoormiut,,,,,,
727,Saint George,77.4,8.0,1.0,3.44,37.1041,-113.5841
728,taolanaro,,,,,,
729,Oussouye,73.4,94.0,0.0,2.3,12.485,-16.5469
730,Mogadishu,80.6,69.0,40.0,13.8,2.0371,45.3438
731,Busselton,67.8,50.0,100.0,12.33,-33.65,115.3333
732,Vanimo,86.34,67.0,63.0,9.46,-2.6741,141.3028
733,Upernavik,23.83,80.0,67.0,4.88,72.7868,-56.1549
734,Inverell,59.85,46.0,21.0,5.01,-29.7833,151.1167
735,Aklavik,46.4,53.0,79.0,2.3,68.2191,-135.0107
736,Malartic,54.09,44.0,40.0,6.91,48.1335,-78.1328
737,Thai Binh,86.0,84.0,75.0,16.11,20.45,106.3333
738,Mahébourg,77.0,69.0,75.0,12.66,-20.4081,57.7
739,Pechenga,32.0,93.0,90.0,8.05,69.5259,31.1703
740,Ilulissat,28.4,93.0,20.0,5.53,69.2167,-51.1
741,Fengxian,76.41,68.0,100.0,5.55,34.7039,116.5872
742,Saint-Joseph,77.88,53.0,0.0,4.61,-21.3667,55.6167
743,Henties Bay,64.02,72.0,0.0,5.88,-22.116,14.2845
744,bur gabo,,,,,,
745,valjala,,,,,,
746,Chapais,50.0,50.0,75.0,3.44,49.7834,-74.8492
747,Port Alfred,62.85,84.0,45.0,9.66,-33.5906,26.891
748,Havre-St-Pierre,46.4,61.0,90.0,5.75,50.2334,-63.5986
749,Aksu,57.13,53.0,88.0,12.08,41.1231,80.2644
750,Belmonte,69.8,94.0,75.0,4.61,-15.8631,-38.8828
751,tsihombe,,,,,,
752,tarudant,,,,,,
753,Lüderitz,61.97,69.0,0.0,1.86,-26.6481,15.1594
754,Pitimbu,71.6,100.0,75.0,4.61,-7.4706,-34.8086
755,Tamparan,81.23,75.0,96.0,3.51,7.8792,124.3331
756,Margate,48.13,76.0,100.0,1.99,51.3813,1.3862
757,Cap-Chat,39.2,70.0,7.0,6.91,49.1001,-66.6821
758,Pañgobilian,84.88,72.0,97.0,4.43,8.8011,117.8594
759,Khatanga,19.9,82.0,87.0,11.99,71.9667,102.5
760,Sijunjung,86.83,69.0,66.0,2.26,-0.6876,100.9537
761,Gamba,76.68,90.0,21.0,3.65,-2.65,10.0
762,Santo Domingo,77.0,83.0,20.0,4.61,18.5001,-69.9886
763,Sheregesh,59.81,40.0,90.0,4.52,52.9209,87.9869
764,Abhā,66.2,59.0,20.0,1.21,18.2164,42.5053
765,Barrow,23.0,86.0,90.0,6.91,71.2906,-156.7887
766,Kayanza Province,69.8,94.0,75.0,2.3,-3.0667,29.6667
767,Hurricane,77.54,8.0,1.0,3.44,37.1753,-113.2899
768,Balezino,71.67,62.0,66.0,7.67,57.9796,53.0106
769,Birin,72.23,51.0,1.0,6.04,26.8865,88.0718
770,Deputatsky,29.28,94.0,99.0,3.96,69.3,139.9
771,Khokhlovo,55.4,94.0,75.0,11.18,59.1492,37.3998
772,Safi,62.82,79.0,6.0,19.28,32.2994,-9.2372
773,Stornoway,45.82,81.0,90.0,6.91,58.2093,-6.3865
774,Labuhan,87.62,61.0,28.0,4.79,-6.8844,112.2051
775,Dikson,23.76,67.0,100.0,17.72,73.5069,80.5464
776,Geraldton,86.0,25.0,8.0,16.11,-28.7667,114.6
777,kerteh,,,,,,
778,Hobart,50.99,46.0,20.0,8.05,-42.8794,147.3294
779,Kyra,60.75,17.0,0.0,7.29,49.5776,111.9753
780,Aykhal,34.65,100.0,100.0,1.72,66.0,111.5
781,ambodifototra,,,,,,
782,Nikolskoye,61.29,63.0,0.0,6.71,59.7035,30.7861
783,Thompson,26.6,86.0,90.0,8.05,55.7435,-97.8558
784,Duki,84.42,26.0,0.0,5.08,30.1541,68.5728
785,Gizo Government Station,85.33,69.0,24.0,5.61,-8.103,156.8419
786,Seymchan,38.26,67.0,25.0,6.6,62.8833,152.4333
787,East London,62.6,59.0,0.0,9.22,-33.0153,27.9116
788,Luoyang,74.86,69.0,100.0,6.93,34.6836,112.4536
789,Rikitea,75.2,63.0,96.0,21.88,-23.1203,-134.9692
790,Albany,48.15,60.0,22.0,4.07,42.6001,-73.9662
791,Lebu,52.29,93.0,25.0,7.02,-37.6167,-73.65
792,Bethel,52.95,66.0,20.0,3.15,41.3712,-73.414
793,Manturovo,64.89,84.0,98.0,6.58,58.3353,44.7619
794,Punta Arenas,44.29,93.0,90.0,12.66,-53.15,-70.9167
795,bacuit,,,,,,
796,Tura,84.76,56.0,16.0,5.5,25.5198,90.2201
797,Narsaq,39.2,30.0,70.0,13.8,60.9167,-46.05
798,Chokurdakh,30.06,89.0,83.0,8.72,70.6333,147.9167
799,Bluff,46.99,73.0,85.0,5.99,-46.6,168.3333
800,sentyabrskiy,,,,,,
801,Tiarei,80.29,65.0,75.0,6.91,-17.5333,-149.3333
802,jiddah,,,,,,
803,Ushuaia,48.2,57.0,20.0,13.8,-54.8,-68.3
804,Cape Town,62.44,94.0,75.0,18.41,-33.9258,18.4232
805,Puerto Ayora,75.99,92.0,29.0,5.35,-0.7393,-90.3518
806,Lorengau,84.74,79.0,23.0,7.99,-2.0226,147.2712
807,grand river south east,,,,,,
808,Władysławowo,51.39,87.0,75.0,2.3,54.7909,18.4009
