,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lon
1121,Emba,80.38,28.0,3.0,5.91,48.8264,58.1442
1122,Bukid,93.2,49.0,75.0,11.5,5.5717,125.4056
1123,Mirny,61.32,22.0,72.0,15.73,62.5353,113.9611
1124,Churapcha,60.03,26.0,34.0,0.47,62.0025,132.4325
1125,Ishigaki,86.0,79.0,75.0,14.97,24.3448,124.1572
1126,Karasjok,35.6,80.0,90.0,8.05,69.4719,25.5112
1127,Korla,68.36,25.0,89.0,13.6,41.7597,86.1469
1128,Asău,59.0,44.0,75.0,4.09,46.4333,26.4
1129,Damara,78.8,89.0,20.0,2.68,4.9608,18.7035
1130,Zyryanovsk,62.62,50.0,12.0,2.08,49.7386,84.2719
1131,Dorchester,52.27,94.0,1.0,1.95,33.1002,-80.3831
1132,Adrar,73.58,24.0,5.0,8.72,20.5022,-10.0711
1133,Hamilton,48.74,87.0,1.0,0.4,39.1834,-84.5333
1134,Meulaboh,85.6,64.0,83.0,3.94,4.1363,96.1285
1135,Kawalu,84.85,66.0,83.0,5.64,-7.3817,108.2082
1136,Creston,58.59,77.0,40.0,9.22,41.0586,-94.3614
1137,Ereymentau,66.92,42.0,13.0,9.1,51.6199,73.1033
1138,burica,,,,,,
1139,Solnechnyy,48.04,95.0,100.0,9.28,50.7214,136.6319
1140,Togul,64.53,35.0,87.0,9.84,53.465,85.9128
1141,haapu,,,,,,
1142,Roura,75.04,100.0,90.0,1.03,4.7263,-52.3274
1143,armacao dos buzios,,,,,,
1144,Hobyo,83.25,67.0,4.0,22.91,5.3505,48.5268
1145,Huttwil,41.34,95.0,70.0,3.36,47.115,7.8621
1146,Saldanha,60.8,94.0,61.0,11.5,-33.0117,17.9442
1147,Hualmay,63.86,86.0,2.0,6.33,-11.0964,-77.6139
1148,bajo baudo,,,,,,
1149,Jiayuguan City,64.35,21.0,99.0,10.18,39.8167,98.3
1150,Mahanoro,73.69,85.0,36.0,3.04,-19.9,48.8
1151,Mawlaik,101.59,25.0,0.0,1.43,23.6333,94.4167
1152,Constitución,55.29,85.0,100.0,6.17,-35.3333,-72.4167
1153,Sidi Ali,60.82,58.0,53.0,1.99,36.0998,0.4206
1154,Northam,46.33,95.0,89.0,11.99,51.0333,-4.2167
1155,Chernyakhovsk,49.89,82.0,27.0,3.22,54.6335,21.8156
1156,Guerrero Negro,59.2,82.0,19.0,14.36,27.9769,-114.0611
1157,Esim,79.66,84.0,55.0,6.11,4.8699,-2.2405
1158,Esna,73.4,27.0,0.0,2.3,25.2934,32.554
1159,San Carlos,74.52,69.0,63.0,2.64,9.6612,-68.5827
1160,Cidreira,58.44,79.0,0.0,5.61,-30.1811,-50.2056
1161,Nanlong,63.95,66.0,100.0,19.93,31.3533,106.0631
1162,amderma,,,,,,
1163,Maceió,71.6,100.0,75.0,4.61,-9.6658,-35.7353
1164,Bonavista,39.51,87.0,83.0,5.75,48.6499,-53.1147
1165,Abnūb,68.0,49.0,0.0,5.75,27.2696,31.1511
1166,Jacqueville,80.6,94.0,20.0,3.44,5.2052,-4.4146
1167,Hūn,73.65,27.0,58.0,7.31,29.1268,15.9477
1168,Lappeenranta,57.85,71.0,0.0,5.75,61.0587,28.1887
1169,zolotinka,,,,,,
1170,Mil'kovo,56.41,30.0,9.0,2.53,54.7167,158.6167
1171,Fortuna,48.63,100.0,90.0,10.36,40.5982,-124.1573
1172,Olutanga,82.27,73.0,100.0,3.8,7.3106,122.8464
1173,Novopskov,65.39,71.0,59.0,7.02,49.5464,39.0899
1174,Saint-François,47.75,87.0,0.0,3.44,46.4154,3.9054
1175,Dwārka,86.27,64.0,94.0,9.91,22.2394,68.9678
1176,Lakinsk,62.78,94.0,100.0,12.37,56.0193,39.9485
1177,Yartsevo,56.68,88.0,50.0,6.82,55.0667,32.6964
1178,Jambi City,90.81,56.0,37.0,5.19,-1.6,103.6167
1179,Óbidos,73.54,94.0,96.0,3.33,-1.9175,-55.5181
1180,Palauig,91.67,54.0,12.0,10.54,15.435,119.9045
1181,Torbay,40.69,93.0,90.0,5.75,47.6666,-52.7314
1182,Riyadh,90.73,12.0,40.0,6.91,24.6877,46.7219
1183,Gouyave,78.76,78.0,47.0,15.9,12.1646,-61.7296
1184,shchelyayur,,,,,,
1185,Siavonga,64.22,65.0,0.0,3.69,-16.5382,28.7088
1186,Sovetskiy,67.55,60.0,89.0,5.97,61.3614,63.5842
1187,Dimbokro,74.44,98.0,83.0,2.37,6.6451,-4.7048
1188,Berdigestyakh,62.08,26.0,50.0,3.13,62.0989,126.6992
1189,Lékoni,73.72,85.0,82.0,1.79,-1.5843,14.2591
1190,Kilindoni,79.38,79.0,91.0,15.39,-7.9139,39.6668
1191,Mayo,54.09,62.0,1.0,5.44,38.8876,-76.5119
1192,Anloga,80.6,89.0,20.0,4.61,5.7947,0.8973
1193,Yacopí,60.62,97.0,100.0,3.67,5.4595,-74.3382
1194,saleaula,,,,,,
1195,Codó,72.91,99.0,100.0,4.16,-4.4553,-43.8856
1196,Esso,38.88,90.0,56.0,4.12,55.9333,158.7
1197,Bolshevik,53.31,100.0,75.0,4.47,54.0065,27.5692
1198,Kpandu,75.58,90.0,12.0,6.06,6.9954,0.2931
1199,Tiksi,35.89,97.0,100.0,10.8,71.6872,128.8694
1200,Sungai Penuh,77.22,75.0,56.0,3.0,-2.0833,101.3833
1201,Nabire,87.04,67.0,84.0,4.85,-3.3667,135.4833
1202,Samfya,59.32,78.0,3.0,5.55,-11.3649,29.5565
1203,Letlhakane,54.36,49.0,1.0,3.15,-21.4167,25.5833
1204,Hingatungan,84.76,73.0,99.0,8.14,10.584,125.1852
1205,Sørkjosen,38.12,78.0,100.0,10.71,69.8,20.9333
1206,Tongling,86.81,69.0,98.0,13.47,30.95,117.7833
1207,Harper,78.87,85.0,31.0,5.68,4.375,-7.7169
1208,Fuerte,89.8,67.0,3.0,10.63,17.5381,120.3644
1209,Brigantine,52.57,71.0,1.0,8.97,39.4101,-74.3646
1210,Vardø,35.1,74.0,100.0,18.01,70.3705,31.1107
1211,Batagay,51.39,29.0,96.0,6.11,67.6333,134.6333
1212,Barcelos,57.29,94.0,90.0,12.66,41.5388,-8.6151
1213,Gainsborough,45.91,93.0,75.0,4.61,53.3833,-0.7667
1214,Saint-Paul,78.17,61.0,2.0,16.11,-21.0096,55.2707
1215,Camacha,64.4,77.0,40.0,20.71,33.0833,-16.3333
1216,Klaksvík,39.2,87.0,75.0,9.22,62.2266,-6.589
1217,‘Ewa Beach,77.05,57.0,20.0,10.36,21.3156,-158.0072
1218,Tangier,60.8,82.0,0.0,8.05,35.7806,-5.8137
1219,Boddam,42.93,93.0,90.0,2.3,57.4667,-1.7833
1220,Okhotsk,34.5,96.0,100.0,8.1,59.3833,143.3
1221,Pingliang,48.09,84.0,100.0,19.55,35.5392,106.6861
1222,Alyangula,84.2,54.0,40.0,10.36,-13.8483,136.4192
1223,Ures,79.41,55.0,0.0,1.99,29.4333,-110.4
1224,Kiunga,85.6,76.0,95.0,3.51,-6.1219,141.2906
1225,Nemuro,66.2,48.0,75.0,14.97,43.3236,145.575
1226,Comodoro Rivadavia,50.0,81.0,0.0,3.44,-45.8667,-67.5
1227,Nouadhibou,66.2,82.0,0.0,18.41,20.931,-17.0347
1228,Huarmey,64.85,86.0,7.0,6.2,-10.0681,-78.1522
1229,Sakakah,73.4,31.0,0.0,11.5,29.9697,40.2064
1230,Sanmenxia,61.99,88.0,100.0,3.62,34.7747,111.1814
1231,Los Llanos de Aridane,63.21,68.0,90.0,16.11,28.6585,-17.9182
1232,Lixouri,64.47,71.0,74.0,1.54,38.2019,20.4314
1233,Dhidhdhoo,84.51,77.0,98.0,30.87,6.8833,73.1
1234,Kormilovka,80.6,21.0,0.0,13.42,55.0026,74.1028
1235,Chapada dos Guimarães,73.4,78.0,0.0,2.3,-15.4606,-55.7497
1236,Bangui,78.8,89.0,20.0,2.26,4.3612,18.555
1237,Provideniya,46.08,55.0,73.0,12.53,64.3833,-173.3
1238,Chara,50.43,42.0,34.0,6.06,56.9064,118.2631
1239,Grindavik,35.6,93.0,20.0,3.44,63.8424,-22.4338
1240,Sonoita,73.02,17.0,0.0,9.15,31.85,-112.8333
1241,Manokwari,84.11,73.0,43.0,4.72,-0.8667,134.0833
1242,Arlit,86.54,13.0,56.0,8.95,18.7369,7.3853
1243,marcona,,,,,,
1244,Barberino di Mugello,48.45,93.0,20.0,2.3,44.0027,11.2371
1245,Imeni Poliny Osipenko,51.73,79.0,100.0,17.74,52.4201,136.4853
1246,Mossamedes,76.64,51.0,2.0,5.68,-15.1961,12.1522
1247,Rafai,69.62,98.0,100.0,2.64,4.95,23.9167
1248,Beringovskiy,33.42,96.0,100.0,12.15,63.05,179.3167
1249,Novy Urengoy,31.24,69.0,71.0,8.37,66.0833,76.6333
1250,San Juan,59.61,49.0,5.0,7.16,-31.5375,-68.5364
1251,Bandarbeyla,90.63,49.0,9.0,21.61,9.4942,50.8122
1252,coalcoman,,,,,,
1253,Amos,53.87,44.0,40.0,6.91,48.5669,-78.1162
1254,Sur,92.43,46.0,9.0,2.39,22.5667,59.5289
1255,Rawson,53.49,68.0,2.0,5.35,-43.3002,-65.1023
1256,Muros,61.05,93.0,100.0,19.84,42.7762,-9.0603
1257,Port Hardy,49.3,76.0,20.0,9.22,50.6996,-127.4199
1258,Knysna,57.2,72.0,0.0,5.75,-34.0363,23.0471
1259,Baruun-Urt,57.24,19.0,2.0,9.71,46.6806,113.2792
1260,Quatre Cocos,78.04,69.0,75.0,12.66,-20.2078,57.7625
1261,Den Helder,46.45,93.0,90.0,2.3,52.9599,4.7593
1262,Port Angeles,51.15,82.0,1.0,14.97,48.1181,-123.4307
1263,Severnyy,57.2,77.0,0.0,4.47,50.677,36.5532
1264,Benghazi,70.59,55.0,23.0,6.55,32.1167,20.0667
1265,Goderich,41.0,81.0,25.0,3.44,43.7501,-81.7165
1266,Kalmunai,87.3,64.0,100.0,6.31,7.4167,81.8167
1267,Diamantino,69.62,73.0,98.0,0.78,-14.4086,-56.4461
1268,Ombessa,69.01,98.0,98.0,1.14,4.603,11.2565
1269,Iqaluit,28.4,64.0,90.0,2.3,63.7506,-68.5145
1270,azimur,,,,,,
1271,Hasaki,77.74,64.0,75.0,13.8,35.7333,140.8333
1272,Redlands,60.76,59.0,1.0,9.22,34.0556,-117.1825
1273,Lavrentiya,35.53,82.0,61.0,8.23,65.5833,-171.0
1274,Dongning,75.13,58.0,84.0,12.75,44.0622,131.1207
1275,Leiyang,92.88,53.0,11.0,16.35,26.4024,112.8591
1276,Qasigiannguit,28.4,93.0,20.0,3.13,68.8193,-51.1922
1277,Tokmak,62.91,56.0,21.0,4.9,47.2514,35.7058
1278,Brus Laguna,74.68,91.0,7.0,1.63,15.75,-84.4833
1279,Altay,64.29,33.0,0.0,8.19,47.8667,88.1167
1280,xadani,,,,,,
1281,Tsukuba,78.15,49.0,75.0,13.8,36.2,140.1
1282,Lompoc,50.31,82.0,58.0,6.91,34.6391,-120.4579
1283,Chabahar,89.37,53.0,12.0,3.2,25.2919,60.643
1284,Sūsangerd,93.2,26.0,0.0,2.3,31.5608,48.1831
1285,Ratnagiri,94.15,52.0,100.0,5.5,16.9833,73.3
1286,Auki,84.92,67.0,44.0,2.91,-8.7676,160.7034
1287,bolshoy uluy,,,,,,
1288,Abu Dhabi,84.43,70.0,0.0,2.3,24.4667,54.3667
1289,Elesbão Veloso,74.57,76.0,100.0,2.51,-6.2019,-42.1403
1290,Dunedin,52.0,53.0,6.0,17.0,-45.8742,170.5036
1291,San Patricio,75.0,83.0,40.0,8.05,28.017,-97.5169
1292,Vuktyl,62.83,72.0,100.0,2.24,63.8567,57.3094
1293,Luba,73.4,100.0,20.0,4.61,3.4568,8.5547
1294,Shirokiy,56.97,55.0,44.0,20.94,49.758,129.523
1295,Kandé,79.34,67.0,8.0,3.22,9.9578,1.0447
1296,Mandalgovi,56.1,20.0,22.0,12.01,45.7625,106.2708
1297,Necochea,53.4,63.0,99.0,8.66,-38.5473,-58.7368
1298,Mezen',48.6,77.0,94.0,4.88,65.8522,44.24
1299,Poquoson,51.87,87.0,1.0,3.44,37.1224,-76.3458
1300,Pokhara,83.55,38.0,0.0,7.31,28.2333,83.9833
1301,Buala,85.14,69.0,60.0,6.11,-8.145,159.5921
1302,Binga,60.91,65.0,0.0,2.3,-17.6203,27.3414
1303,Ayagoz,63.57,37.0,2.0,13.04,47.9714,80.4392
1304,Stoughton,53.67,76.0,20.0,4.03,42.1251,-71.1023
1305,Kansanshi,53.04,80.0,0.0,3.24,-12.0951,26.4273
1306,Labuan,82.2,89.0,40.0,6.91,5.2767,115.2417
1307,Bereda,55.31,100.0,100.0,15.99,43.2686,-7.5406
1308,Abbeville,47.5,62.0,100.0,5.99,50.1,1.8333
1309,Port Macquarie,66.94,62.0,55.0,2.28,-31.4333,152.9167
1310,Srīvardhan,94.48,47.0,99.0,6.4,18.0333,73.0167
1311,jujuy,,,,,,
1312,Kouango,70.72,98.0,97.0,3.91,4.9934,19.9619
1313,Alihe,58.39,38.0,92.0,15.52,50.5667,123.7167
1314,Segezha,49.42,85.0,100.0,3.94,63.7415,34.3222
1315,Kargasok,66.13,62.0,99.0,5.12,59.0556,80.8572
1316,Jaqué,79.88,85.0,100.0,3.27,7.5175,-78.1703
1317,Coahuayana Viejo,77.13,82.0,35.0,2.53,18.7333,-103.6833
1318,Seoul,70.92,94.0,90.0,4.61,37.5683,126.9778
1319,Redding,80.6,26.0,90.0,9.22,40.5865,-122.3917
1320,Elmira,42.6,81.0,1.0,3.44,42.0898,-76.8077
1321,Cheyenne,45.07,93.0,75.0,3.44,41.14,-104.8203
1322,Galle,84.34,73.0,100.0,8.72,6.0367,80.217
1323,Pouébo,79.21,73.0,37.0,6.33,-20.4,164.5667
1324,Skarnes,47.71,100.0,75.0,5.75,60.2528,11.6797
1325,Inuvik,46.4,53.0,100.0,2.3,68.3499,-133.7218
1326,Kibre Mengist,63.59,87.0,75.0,2.73,5.8833,38.9833
1327,São João da Barra,68.79,69.0,100.0,4.16,-21.6403,-41.0511
1328,Townsville,80.6,47.0,0.0,16.11,-19.25,146.8
1329,Ourém,50.2,91.0,98.0,2.15,39.6417,-8.5919
1330,Morant Bay,76.21,69.0,20.0,6.91,17.8815,-76.4093
1331,Mildura,59.97,36.0,40.0,13.8,-34.2,142.15
1332,Adeje,61.48,77.0,20.0,8.05,28.1227,-16.726
1333,Bubaque,76.73,75.0,8.0,8.12,11.2833,-15.8333
1334,Southampton,48.67,84.0,100.0,3.0,50.904,-1.4043
1335,Zhigansk,52.45,44.0,100.0,19.22,66.7697,123.3711
1336,Canutama,72.5,98.0,100.0,1.14,-6.5339,-64.3831
1337,Udaipura,102.79,20.0,61.0,9.82,23.0833,78.5
1338,Mercedes,46.69,89.0,68.0,5.5,-34.6515,-59.4307
1339,Svarstad,49.24,1.0,58.0,5.37,59.399,9.9698
1340,Kahului,72.52,61.0,20.0,14.97,20.8947,-156.47
1341,Tecpan,57.87,82.0,20.0,16.11,14.7623,-90.9947
1342,bolungarvik,,,,,,
1343,Guozhen,57.4,92.0,100.0,6.51,34.3659,107.359
1344,nguiu,,,,,,
1345,Takoradze,79.81,85.0,49.0,6.13,4.8845,-1.7554
1346,Fare,82.24,74.0,100.0,17.78,-16.7,-151.0167
1347,Linjiang,68.9,67.0,80.0,5.97,41.8069,126.9078
1348,Flinders,62.58,45.0,27.0,8.99,-34.5833,150.8552
1349,Pringsewu,89.2,59.0,47.0,3.13,-5.3582,104.9744
1350,Noumea,78.8,78.0,40.0,14.97,-22.2763,166.4572
1351,Bambous Virieux,77.95,69.0,75.0,12.66,-20.3428,57.7575
1352,Marsh Harbour,76.66,74.0,28.0,10.07,26.5412,-77.0636
1353,guajara-mirim,,,,,,
1354,Rincon,53.6,76.0,1.0,3.06,32.296,-81.2354
1355,Pangnirtung,21.29,94.0,100.0,1.48,66.1451,-65.7125
1356,sorvag,,,,,,
1357,Karratha,84.4,20.0,76.0,20.07,-20.7377,116.8463
1358,Udachny,35.51,99.0,100.0,0.92,66.4167,112.4
1359,Karachi,89.6,55.0,1.0,6.91,24.9056,67.0822
1360,Waddān,74.08,26.0,51.0,6.53,29.1614,16.139
1361,La Ronge,43.7,76.0,90.0,1.14,55.1001,-105.2842
1362,Billings Metropolitan Area,52.21,66.0,75.0,9.22,45.7833,-108.5007
1363,Iquitos,75.2,94.0,75.0,1.14,-3.7481,-73.2472
1364,Minapasuk,85.08,68.0,100.0,7.23,10.6988,123.3536
1365,Bambari,70.16,93.0,61.0,3.62,5.768,20.6757
1366,fort saint john,,,,,,
1367,Guadalajara,73.42,46.0,40.0,8.05,20.6667,-103.3333
1368,Evensk,33.06,93.0,100.0,4.9,61.95,159.2333
1369,Shenjiamen,71.06,92.0,100.0,21.23,29.9576,122.298
1370,Liaozhong,57.2,77.0,90.0,11.18,41.5061,122.7242
1371,Mastic Beach,58.51,39.0,1.0,5.75,40.7668,-72.8521
1372,Matagami,48.2,76.0,1.0,2.3,49.7502,-77.6328
1373,Methóni,58.48,82.0,40.0,2.55,36.8197,21.7049
1374,Hervey Bay,77.0,29.0,1.0,6.91,-25.2986,152.8535
1375,Ermelo,44.02,40.0,0.0,4.47,-26.5333,29.9833
1376,Nantucket,53.33,82.0,75.0,10.36,41.2835,-70.0995
1377,Mayumba,77.25,90.0,23.0,3.56,-3.432,10.6554
1378,Olafsvik,38.8,72.0,14.0,11.9,64.8945,-23.7142
1379,Onega,54.64,71.0,100.0,2.57,63.9061,38.1404
1380,Fukuechō,71.6,100.0,75.0,6.91,32.6881,128.8419
1381,Malazgirt,65.79,40.0,1.0,2.55,39.1427,42.5401
1382,Jumla,67.39,26.0,0.0,6.51,29.2747,82.1838
1383,Sampit,87.15,69.0,54.0,3.56,-2.5333,112.95
1384,Pacifica,50.02,93.0,90.0,13.8,37.6138,-122.4869
1385,Santa Cruz de la Sierra,67.01,72.0,46.0,2.46,-17.8,-63.1667
1386,San Cristobal,78.8,73.0,20.0,3.44,7.7669,-72.225
1387,Lujiang,71.82,100.0,20.0,11.18,31.2581,117.2817
1388,Scarborough,45.61,91.0,88.0,5.35,54.2797,-0.4044
1389,palabuhanratu,,,,,,
1390,Bokhan,55.06,30.0,81.0,14.76,53.153,103.7714
1391,Amahai,82.0,81.0,87.0,7.9,-3.3333,128.9167
1392,Kununurra,86.0,14.0,3.0,10.36,-15.7667,128.7333
1393,Gimli,55.4,71.0,84.0,1.14,50.6336,-96.9907
1394,Oranjemund,60.04,80.0,0.0,7.09,-28.55,16.4333
1395,Caucayá,71.4,99.0,94.0,2.1,-0.1934,-74.7819
1396,Japura,87.26,70.0,37.0,3.91,-0.3167,102.35
1397,Skjervøy,38.32,73.0,100.0,16.64,70.0311,20.9714
1398,Nadym,36.82,55.0,98.0,7.87,65.5333,72.5167
1399,barawe,,,,,,
1400,Laurel,50.95,58.0,1.0,3.36,39.0993,-76.8483
1401,Antofagasta,60.8,82.0,90.0,3.44,-23.65,-70.4
1402,Shimanovsk,42.98,91.0,100.0,12.91,52.0,127.7
1403,Inhambane,66.09,88.0,20.0,7.16,-23.865,35.3833
1404,Turbat,100.22,5.0,1.0,11.81,26.0023,63.044
1405,ho,,,,,,
1406,Suntar,64.92,19.0,61.0,10.56,62.1444,117.6319
1407,Fairbanks,56.97,29.0,75.0,4.61,64.8378,-147.7164
1408,Talnakh,22.37,84.0,50.0,12.06,69.4865,88.3972
1409,Ingleside,74.88,78.0,1.0,12.66,27.8778,-97.2117
1410,Znamenskoye,79.66,34.0,61.0,9.15,57.1281,73.8282
1411,Hondomachi-hondo,72.19,88.0,75.0,11.5,32.45,130.2
1412,Sakaiminato,84.2,51.0,75.0,18.41,35.55,133.2333
1413,Kisi,74.57,87.0,7.0,6.11,9.0833,3.85
1414,Laguna,58.82,67.0,1.0,11.5,38.421,-121.4238
1415,Guabito,75.6,88.0,99.0,3.98,9.5,-82.6167
1416,Marsá Maţrūḩ,62.6,94.0,0.0,3.44,31.3525,27.2453
1417,Havøysund,35.6,80.0,90.0,13.8,70.9963,24.6622
1418,Utuado,71.37,91.0,32.0,2.66,18.2655,-66.7004
1419,Río Gallegos,48.2,81.0,75.0,3.44,-51.6226,-69.2181
1420,Alta Floresta,70.05,81.0,96.0,1.77,-9.8756,-56.0861
1421,Katherine,86.0,20.0,7.0,13.8,-14.4667,132.2667
1422,Sobolevo,56.12,87.0,31.0,8.81,54.4299,31.8996
1423,Tual,83.37,75.0,100.0,18.95,-5.6667,132.75
1424,Timbiquí,73.87,94.0,97.0,2.64,2.7717,-77.6654
1425,Yarensk,63.77,51.0,100.0,5.79,62.1675,49.0916
1426,Yuncheng,62.89,83.0,100.0,7.87,35.0231,110.9928
1427,Road Town,79.34,86.0,25.0,3.0,18.4167,-64.6167
1428,Kenora,53.29,71.0,75.0,6.91,49.8167,-94.4337
1429,Kaitangata,48.0,63.0,9.0,7.0,-46.2817,169.8464
